"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
"42",2,"Business Economics","Marketing",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,"Language","Language","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","CLEVELAND","INSIGHT2PROFIT","Analytics
 Consulting",NA,NA,NA,NA,"0",NA,NA,"1","accepted fulltime job","Yes","Yes",58000,"OH"
"43",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Supply Chain Management","Supply Chain Management","White","Male","3.00 - 3.49",202020,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"PS America","1",NA,NA,"0","seeking employment","Missing","Missing",0,"Missing"
"44",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","American Indian or Alaska Native","Female","3.00 - 3.49",201920,"2019","0","CHICAGO","COYOTE","Marketing / Sales",NA,NA,NA,"TimkenSteel","1",NA,NA,"1","accepted fulltime job","Yes","Yes",40000,"Illinois"
"45",1,"Marketing","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","OTHER","OTHER",NA,NA,NA,NA,"I.REISS CO.","3","Amazon web services","CoTrader","1","seeking employment","Missing","Missing",0,"Missing"
"46",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Mangement and Leadership","Mangement and Leadership","Hispanic/Latino","Female","3.50 - 4.00",202120,"2021","Cum Laude","OTHER","OTHER",NA,NA,NA,NA,"Yark Automotive","2",NA,"Becker Impressions","4","seeking employment","Missing","Missing",0,"Missing"
"47",1,"Accountancy","none",0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,"No Minor","No Minor","White","Male","3.50 - 4.00",201920,"2019","Cum Laude","MILWAUKEE","DELOITTE","Accounting",NA,NA,NA,"Deloitte","2",NA,"Schroeder Moving Systems","1","accepted fulltime job","Yes","Yes",53000,"WI"
"48",1,"Marketing","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","BOSTON","OTHER","Finance Marketing / Sales",NA,NA,NA,"real estate agent, boardwalk properties","2",NA,"marketing intern, boathouse group","2","accepted fulltime job","Yes","Yes",45000,"MA"
"49",1,"Supply Chain & Operations Mgmt","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Analytics","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","DETROIT","OTHER","Analytics
 Logistics / Supply Chain
 Operations / Procurement",NA,NA,NA,"Lexon Corp","2",NA,"General Motors","3","accepted fulltime job","Yes","Yes",75000,"Michigan, Detroit"
"50",2,"Accountancy","Business Analytics",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","DENVER","PWC",NA,NA,NA,NA,"Cardinal Health","2",NA,"The Carmelite System","2","accepted fulltime job","Yes","Yes",55000,"CO"
"51",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","3.00 - 3.49",202120,"2021","0","OTHER","OTHER",NA,NA,NA,NA,NA,"1",NA,NA,NA,"seeking employment","Missing","Missing",0,"Missing"
